impuesto
Angostura;Tolima;3.8033333333333337;-75.06305555555555
Caguan;Huila;2.863611111111111;-75.23361111111112
Sanchez;Guaviare;1.8263888888888888;-72.42083333333333
Lebrija;Santander;7.1130555555555555;-73.21777777777778
Rafael;Valle del Cauca;3.6666666666666665;-76.4563888888889
Remolinos;Antioquia;6.355277777777777;-74.84444444444443
Rosario;Arauca;6.934722222222223;-70.86999999999999
Tambo;Tolima;4.416666666666667;-75.33333333333333
Carmelo;Chocó;5.319999999999999;-76.37222222222222
Morales;Cauca;2.7569444444444446;-76.61722222222221
Campamentos;Boyacá;4.85;-73.3775
Paloma;Tolima;3.897222222222222;-75.30666666666666
Huisito;Cauca;2.4994444444444444;-77.0525
Alta;Nariño;1.5333333333333332;-78.15
Tello;Huila;3.0669444444444447;-75.13777777777779
Diamante;Cundinamarca;4.427222222222222;-73.30333333333333
Coca;Boyacá;5.7075000000000005;-73.98388888888888
Cardona;Boyacá;5.582222222222222;-73.87555555555555
Neiva;Boyacá;5.793333333333333;-74.21833333333333
Chucuri;Santander;6.38111111111111;-73.15194444444445
Guayabero;Vaupés;0.145;-70.95722222222223
Curillo;Caquetá;1.0333333333333334;-75.91916666666667
Putumayo;Cesar;8.168055555555554;-73.70444444444445
Cauca;Valle del Cauca;4.715833333333333;-76.00083333333333
Ganado;Tolima;3.4683333333333333;-74.80027777777778
Magdalena;La Guajira;11.436111111111112;-72.47083333333333
Solano;Caquetá;0.6994444444444444;-75.25361111111111
Cucuta;Norte de Santander;7.883333333333333;-72.50527777777778
Catatumbo;Santander;7.263888888888889;-73.30111111111111
Cimitarra;Caldas;5.466666666666667;-74.84388888888888
Delicias;Santander;6.678055555555556;-73.51222222222222
Altamira;Boyacá;5.636388888888888;-73.85166666666666
Tambo;Tolima;4.416666666666667;-75.33333333333333
Patia;Nariño;2.2369444444444446;-78.53527777777778
Soto;Huila;3.141111111111111;-74.9588888888889
Medios;Santander;5.791111111111111;-73.79277777777777
Barrancabermeja;Santander;7.065277777777777;-73.85472222222222
Cauca;Valle del Cauca;4.715833333333333;-76.00083333333333
Carlos;Guainía;2.2963888888888886;-68.415
Beltran;Risaralda;4.961944444444445;-75.79194444444444
Vargas;Caquetá;2.3405555555555555;-74.92083333333333
Tarra;Norte de Santander;8.053055555555556;-73.08777777777777
Carrizal;Cauca;2.7286111111111113;-76.58111111111111
Sotomayor;Nariño;1.5147222222222223;-77.50444444444445
Samaniego;Nariño;1.338611111111111;-77.59583333333333
Ganado;Tolima;3.4683333333333333;-74.80027777777778
Julio;Atlántico;10.595277777777778;-74.75611111111111
Venezuela;Córdoba;8.916666666666666;-76.01666666666667
Colombia;Córdoba;9.23472222222222;-75.57805555555555
Ganado;Tolima;3.4683333333333333;-74.80027777777778
Coca;Boyacá;5.7075000000000005;-73.98388888888888
Ganado;Tolima;3.4683333333333333;-74.80027777777778
Bolivar;Magdalena;10.349444444444446;-74.15166666666667
Coca;Boyacá;5.7075000000000005;-73.98388888888888
Tolima;Amazonas;-0.8333333333333334;-72.3
Arboleda;Sucre;8.816666666666666;-74.61666666666666
Hurtado;Córdoba;8.422222222222222;-76.00638888888889
Tolima;Amazonas;-0.8333333333333334;-72.3
Chavez;Nariño;1.288611111111111;-77.49027777777778
Jacinto;Bolívar;9.571388888888889;-74.98194444444445
Concepcion;Magdalena;9.9725;-74.23333333333333
Hacha;Putumayo;-0.03972222222222222;-75.49555555555555
Limones;Cauca;2.9969444444444444;-77.49111111111111
Patilla;La Guajira;11.047222222222222;-72.6863888888889
Esperanza;Cundinamarca;4.473055555555556;-75.13611111111112
Cedro;Bolívar;9.933333333333334;-75.36666666666666
Alto;Cauca;2.6919444444444443;-76.77361111111111
Remolino;Bolívar;8.414444444444445;-73.80444444444444
Angostura;Tolima;3.8033333333333337;-75.06305555555555
Caguan;Huila;2.863611111111111;-75.23361111111112
Robles;Bolívar;10.074722222222222;-74.84305555555555
Campamento;La Guajira;11.114166666666666;-72.11333333333333
Rionegro;Cundinamarca;4.626944444444444;-73.62722222222222
Valencia;Cauca;1.8958333333333333;-76.6725
Rionegro;Cundinamarca;4.626944444444444;-73.62722222222222
//
cultivo
Lopez;Cauca;2.4333333333333336;-76.8
Lopez;Cauca;2.4333333333333336;-76.8
Garcia;Nariño;1.388611111111111;-78.75
Gabriel;Cundinamarca;4.8325;-73.97
Amparo;Magdalena;10.15;-74.45
Claudia;Nariño;1.7355555555555555;-77.40333333333334
Libano;Huila;2.383888888888889;-75.69250000000001
Silencio;Cundinamarca;5.610555555555555;-74.38527777777779
Termopilas;Cundinamarca;4.629444444444445;-73.51083333333334
Algeciras;Huila;2.5230555555555556;-75.315
Vergel;Valle del Cauca;3.5575;-76.15666666666667
Sanabria;Cauca;2.0244444444444443;-77.23194444444445
Patia;Nariño;2.2369444444444446;-78.53527777777778
Sanchez;Guaviare;1.8263888888888888;-72.42083333333333
Campamentos;Boyacá;4.85;-73.3775
Madrigal;Nariño;1.748611111111111;-77.505
Sanchez;Guaviare;1.8263888888888888;-72.42083333333333
Patia;Nariño;2.2369444444444446;-78.53527777777778
Sanchez;Guaviare;1.8263888888888888;-72.42083333333333
Campamento;La Guajira;11.114166666666666;-72.11333333333333
Gonzalo;Cauca;1.9166666666666665;-76.86666666666666
Tomate;Córdoba;8.721944444444444;-76.16000000000001
Fonda;Tolima;4.407500000000001;-75.3536111111111
Tacueyo;Cauca;3.066666666666667;-76.23333333333333
Toribio;Magdalena;10.066666666666666;-74.46666666666667
Jambalo;Cauca;2.788333333333333;-76.32249999999999
