"Código
Departamental",Nombre del Departamento,"Código
Municipal","Código
Depto+Mpio+Cpob",Nombre de Municipios y Corregimientos Departamentales,Cabeceras y Centros Poblados,Categoría,Cantidad de Manzanas,Año de Creación,Acto Administrativo,Segregado de
05,Antioquia,05 - 001,05 - 001 - 000,MEDELLÍN,Medellín,CM,12081,1675,,
05,Antioquia,05 - 001,05 - 001 - 001,MEDELLÍN,Palmitas,C,4,,,
05,Antioquia,05 - 001,05 - 001 - 004,MEDELLÍN,Santa Elena,C,3,,,
05,Antioquia,05 - 001,05 - 001 - 005,MEDELLÍN,Pedregal Alto,IPM,,,,
05,Antioquia,05 - 001,05 - 001 - 009,MEDELLÍN,Altavista,C,68,,,
05,Antioquia,05 - 001,05 - 001 - 010,MEDELLÍN,Aguas Frías,CP,30,,,
05,Antioquia,05 - 001,05 - 001 - 012,MEDELLÍN,La Loma,CP,44,,,
05,Antioquia,05 - 001,05 - 001 - 013,MEDELLÍN,San José Del Manzanillo,CP,14,,,
05,Antioquia,05 - 001,05 - 001 - 032,MEDELLÍN,Travesias,CP,,,,
05,Antioquia,05 - 002,05 - 002 - 000,ABEJORRAL,Abejorral,CM,127,1814,,
05,Antioquia,05 - 002,05 - 002 - 002,ABEJORRAL,Pantanillo,C,13,,,
05,Antioquia,05 - 002,05 - 002 - 006,ABEJORRAL,Purnia,CAS,,,,
05,Antioquia,05 - 002,05 - 002 - 010,ABEJORRAL,El Cairo,CAS,,,,
05,Antioquia,05 - 004,05 - 004 - 000,ABRIAQUÍ,Abriaquí,CM,15,1912, ,
05,Antioquia,05 - 004,05 - 004 - 002,ABRIAQUÍ,La Antigua,C,,,,
05,Antioquia,05 - 021,05 - 021 - 000,ALEJANDRÍA,Alejandría,CM,31,1907,Decreto departamental 304 de 1907,
05,Antioquia,05 - 030,05 - 030 - 000,AMAGÁ,Amagá,CM,93,1912, ,
05,Antioquia,05 - 030,05 - 030 - 001,AMAGÁ,Camilo C,CAS,19,,,
05,Antioquia,05 - 030,05 - 030 - 002,AMAGÁ,El Cedro,IPD,,,,
05,Antioquia,05 - 030,05 - 030 - 003,AMAGÁ,La Clarita,CAS,16,,,
05,Antioquia,05 - 031,05 - 031 - 000,AMALFI,Amalfi,CM,158,1843,,
05,Antioquia,05 - 031,05 - 031 - 004,AMALFI,Portachuelo,C,14,,,
05,Antioquia,05 - 031,05 - 031 - 005,AMALFI,Arenas Blancas,CAS,,,,
05,Antioquia,05 - 031,05 - 031 - 006,AMALFI,El Zacatin,CAS,,,,
05,Antioquia,05 - 031,05 - 031 - 007,AMALFI,La Guayana,CAS,,,,
05,Antioquia,05 - 034,05 - 034 - 000,ANDES,Andes,CM,150,1853, ,
05,Antioquia,05 - 034,05 - 034 - 001,ANDES,Buenos Aires,C,25,,,
05,Antioquia,05 - 034,05 - 034 - 003,ANDES,San José,C,10,,,
05,Antioquia,05 - 034,05 - 034 - 006,ANDES,Santa Rita,C,11,,,
05,Antioquia,05 - 034,05 - 034 - 007,ANDES,Tapartó,C,18,,,
05,Antioquia,05 - 034,05 - 034 - 012,ANDES,Santa Inés,C,13,,,
05,Antioquia,05 - 034,05 - 034 - 013,ANDES,La Piedra,CP,,,,
05,Antioquia,05 - 034,05 - 034 - 014,ANDES,San Bartolo,CP,,,,
05,Antioquia,05 - 036,05 - 036 - 000,ANGELÓPOLIS,Angelópolis,CM,24,1896,Ordenanza 16 del 12 de julio de 1896,
05,Antioquia,05 - 036,05 - 036 - 001,ANGELÓPOLIS,La Estación,C,,,,
05,Antioquia,05 - 036,05 - 036 - 007,ANGELÓPOLIS,La Clara,CAS,,,,
05,Antioquia,05 - 036,05 - 036 - 008,ANGELÓPOLIS,Estación Angelópolis,C,,,,
05,Antioquia,05 - 036,05 - 036 - 009,ANGELÓPOLIS,La Miranda,CAS,,,,
05,Antioquia,05 - 036,05 - 036 - 010,ANGELÓPOLIS,Santa Rita,CAS,,,,
05,Antioquia,05 - 038,05 - 038 - 000,ANGOSTURA,Angostura,CM,27,1821,,
05,Antioquia,05 - 040,05 - 040 - 000,ANORÍ,Anorí,CM,46,1821,,
05,Antioquia,05 - 040,05 - 040 - 002,ANORÍ,Liberia,C,,,,
05,Antioquia,05 - 040,05 - 040 - 003,ANORÍ,Montefrío,C,,,,
05,Antioquia,05 - 040,05 - 040 - 004,ANORÍ,Santo Domingo,IPD,,,,
05,Antioquia,05 - 040,05 - 040 - 005,ANORÍ,Cristalinas,IPD,,,,
05,Antioquia,05 - 040,05 - 040 - 006,ANORÍ,Las Nieves,IPD,,,,
05,Antioquia,05 - 040,05 - 040 - 007,ANORÍ,Madre Seca,IPD,,,,
05,Antioquia,05 - 042,05 - 042 - 000,SANTAFÉ DE ANTIOQUIA,Santafé De Antioquia,CM,158,1541, ,
05,Antioquia,05 - 042,05 - 042 - 001,SANTAFÉ DE ANTIOQUIA,Cativo,C,,,,
05,Antioquia,05 - 042,05 - 042 - 002,SANTAFÉ DE ANTIOQUIA,Guasabra,C,3,,,
05,Antioquia,05 - 042,05 - 042 - 003,SANTAFÉ DE ANTIOQUIA,Las Azules,C,,,,
05,Antioquia,05 - 042,05 - 042 - 004,SANTAFÉ DE ANTIOQUIA,Tonusco Arriba,C,,,,
05,Antioquia,05 - 042,05 - 042 - 006,SANTAFÉ DE ANTIOQUIA,El Pescado,IPD,,,,
05,Antioquia,05 - 042,05 - 042 - 007,SANTAFÉ DE ANTIOQUIA,Sabanas,C,,,,
05,Antioquia,05 - 044,05 - 044 - 000,ANZA,Anza,CM,30,1813, ,
05,Antioquia,05 - 044,05 - 044 - 001,ANZA,Guintar,C,14,,,
05,Antioquia,05 - 044,05 - 044 - 002,ANZA,La Cholina,CAS,,,,
05,Antioquia,05 - 044,05 - 044 - 003,ANZA,Los Llanos,CAS,,,,
05,Antioquia,05 - 044,05 - 044 - 005,ANZA,La Cejita,IPD,,,,
05,Antioquia,05 - 044,05 - 044 - 006,ANZA,La Higuina,IPD,,,,
05,Antioquia,05 - 045,05 - 045 - 000,APARTADÓ,Apartadó,CM,935,1967,Ordenanza 7 de Noviembre 30 de 1967,Turbo
05,Antioquia,05 - 045,05 - 045 - 001,APARTADÓ,San José De Apartadó,C,13,,,
05,Antioquia,05 - 045,05 - 045 - 002,APARTADÓ,Churidó,C,47,,,
05,Antioquia,05 - 045,05 - 045 - 003,APARTADÓ,Zungo Carretera,CAS,3,,,
05,Antioquia,05 - 045,05 - 045 - 007,APARTADÓ,Los Naranjales,CAS,11,,,
05,Antioquia,05 - 045,05 - 045 - 008,APARTADÓ,Vijagual,CAS,9,,,
05,Antioquia,05 - 045,05 - 045 - 009,APARTADÓ,El Reposo,CAS,16,,,
05,Antioquia,05 - 045,05 - 045 - 011,APARTADÓ,El Salvador,CP,,,,
05,Antioquia,05 - 045,05 - 045 - 014,APARTADÓ,Puerto Giron,CP,,,,
05,Antioquia,05 - 051,05 - 051 - 000,ARBOLETES,Arboletes,CM,149,1958,Decreto departamental 340 del 30 de Agosto  de 1958,Turbo
05,Antioquia,05 - 051,05 - 051 - 001,ARBOLETES,Buenos Aires,C,7,,,
05,Antioquia,05 - 051,05 - 051 - 003,ARBOLETES,El Carmelo,C,11,,,
05,Antioquia,05 - 051,05 - 051 - 005,ARBOLETES,Las Naranjitas,C,8,,,
05,Antioquia,05 - 051,05 - 051 - 008,ARBOLETES,El Yeso,CAS,11,,,
05,Antioquia,05 - 051,05 - 051 - 009,ARBOLETES,La Trinidad,C,16,,,
05,Antioquia,05 - 051,05 - 051 - 010,ARBOLETES,Las Platas (Santafé),IPD,14,,,
05,Antioquia,05 - 051,05 - 051 - 011,ARBOLETES,La Candelaria,C,22,,,
05,Antioquia,05 - 051,05 - 051 - 014,ARBOLETES,El Guadual,CAS,9,,,
05,Antioquia,05 - 051,05 - 051 - 015,ARBOLETES,Arenosa Carmelo,CP,,,,
05,Antioquia,05 - 051,05 - 051 - 016,ARBOLETES,Barrancuda,CP,,,,
05,Antioquia,05 - 051,05 - 051 - 017,ARBOLETES,La Atoyosa,CP,,,,
05,Antioquia,05 - 051,05 - 051 - 018,ARBOLETES,Pueblo Chino,CP,,,,
05,Antioquia,05 - 051,05 - 051 - 019,ARBOLETES,San José Del Carmelo,CP,,,,
05,Antioquia,05 - 055,05 - 055 - 000,ARGELIA,Argelia,CM,44,1960,Ordenanza 19 de Diciembre 5 de 1960,Sonson
05,Antioquia,05 - 059,05 - 059 - 000,ARMENIA,Armenia,CM,26,1894,Ordenanza 20 del 25 de Junio de 1894, 
05,Antioquia,05 - 059,05 - 059 - 001,ARMENIA,La Herradura,C,6,,,
05,Antioquia,05 - 059,05 - 059 - 002,ARMENIA,La Loma,CAS,,,,
05,Antioquia,05 - 059,05 - 059 - 003,ARMENIA,El Socorro,CAS,,,,
05,Antioquia,05 - 059,05 - 059 - 004,ARMENIA,Mojones,CAS,,,,
05,Antioquia,05 - 059,05 - 059 - 005,ARMENIA,Cartagüeño,CP,,,,
05,Antioquia,05 - 059,05 - 059 - 006,ARMENIA,Filo Seco,CP,,,,
05,Antioquia,05 - 059,05 - 059 - 007,ARMENIA,La Pescadora,CP,,,,
05,Antioquia,05 - 059,05 - 059 - 008,ARMENIA,La Quiebra,CP,,,,
05,Antioquia,05 - 059,05 - 059 - 009,ARMENIA,Palmichal,CP,,,,
05,Antioquia,05 - 059,05 - 059 - 010,ARMENIA,Palo Blanco,CP,,,,
05,Antioquia,05 - 079,05 - 079 - 000,BARBOSA,Barbosa,CM,158,1812, ,
05,Antioquia,05 - 079,05 - 079 - 001,BARBOSA,Hatillo,C,18,,,
05,Antioquia,05 - 079,05 - 079 - 006,BARBOSA,El Tablazo,CAS,,,,
05,Antioquia,05 - 079,05 - 079 - 007,BARBOSA,El Verde,CAS,,,,
05,Antioquia,05 - 079,05 - 079 - 010,BARBOSA,El Guayabo,CAS,,,,
05,Antioquia,05 - 079,05 - 079 - 011,BARBOSA,Las Victorias,CAS,,,,
05,Antioquia,05 - 079,05 - 079 - 013,BARBOSA,Aguas Claras,CAS,,,,
05,Antioquia,05 - 079,05 - 079 - 014,BARBOSA,Popalito,C,,,,
05,Antioquia,05 - 079,05 - 079 - 015,BARBOSA,Filoverde,C,,,,
05,Antioquia,05 - 079,05 - 079 - 016,BARBOSA,Yarumito,C,,,,
05,Antioquia,05 - 079,05 - 079 - 017,BARBOSA,Tablazo Hatillo,CP,,,,
05,Antioquia,05 - 086,05 - 086 - 000,BELMIRA,Belmira,CM,27,1814,,
05,Antioquia,05 - 086,05 - 086 - 001,BELMIRA,Labores,C,8,,,
05,Antioquia,05 - 086,05 - 086 - 002,BELMIRA,Quebraditas,CAS,,,,
05,Antioquia,05 - 086,05 - 086 - 004,BELMIRA,Playas,IPM,,,,
05,Antioquia,05 - 088,05 - 088 - 000,BELLO,Bello,CM,2035,1913,Ordenanza 48 del 29 deAbril de 1913,
05,Antioquia,05 - 088,05 - 088 - 013,BELLO,San Félix,C,,,,
05,Antioquia,05 - 088,05 - 088 - 018,BELLO,El Pinar,CP,22,,,
05,Antioquia,05 - 088,05 - 088 - 020,BELLO,El Albergue,CP,,,,
05,Antioquia,05 - 088,05 - 088 - 021,BELLO,Hato Viejo,CP,,,,
05,Antioquia,05 - 088,05 - 088 - 022,BELLO,La China,CP,,,,
05,Antioquia,05 - 088,05 - 088 - 023,BELLO,La Unión,CP,,,,
05,Antioquia,05 - 091,05 - 091 - 000,BETANIA,Betania,CM,35,1920,Ordenanza 42 del 24 de Abril de 1920,
05,Antioquia,05 - 091,05 - 091 - 003,BETANIA,San Luis,CP,,,,
05,Antioquia,05 - 093,05 - 093 - 000,BETULIA,Betulia,CM,61,1884,Decreto departamental 629 del 28 de Enero de 1884,
05,Antioquia,05 - 093,05 - 093 - 001,BETULIA,Altamira,C,20,,,
05,Antioquia,05 - 101,05 - 101 - 000,CIUDAD BOLÍVAR,Ciudad Bolívar,CM,185,1869, ,
05,Antioquia,05 - 101,05 - 101 - 001,CIUDAD BOLÍVAR,Alfonso López,C,,,,
05,Antioquia,05 - 101,05 - 101 - 002,CIUDAD BOLÍVAR,San Bernardo De Los Farallones,C,13,,,
05,Antioquia,05 - 101,05 - 101 - 006,CIUDAD BOLÍVAR,San Gregorio,CAS,15,,,
05,Antioquia,05 - 101,05 - 101 - 007,CIUDAD BOLÍVAR,La Linda,C,,,,
05,Antioquia,05 - 101,05 - 101 - 008,CIUDAD BOLÍVAR,Villa Alegría,CAS,7,,,
05,Antioquia,05 - 107,05 - 107 - 000,BRICEÑO,Briceño,CM,61,1980,Ordenanza 27 de Noviembre 26 de 1980,Yarumal
05,Antioquia,05 - 107,05 - 107 - 001,BRICEÑO,Berlín (Pueblo Nuevo),C,,,,
05,Antioquia,05 - 107,05 - 107 - 002,BRICEÑO,El Roblal,IP,,,,
05,Antioquia,05 - 107,05 - 107 - 003,BRICEÑO,Las Auras,C,7,,,
05,Antioquia,05 - 113,05 - 113 - 000,BURITICÁ,Buriticá,CM,27,1812, ,
05,Antioquia,05 - 113,05 - 113 - 001,BURITICÁ,El Naranjo,IPD,,,,
05,Antioquia,05 - 113,05 - 113 - 002,BURITICÁ,Guarco,IPD,,,,
05,Antioquia,05 - 113,05 - 113 - 003,BURITICÁ,Tabacal,C,15,,,
05,Antioquia,05 - 113,05 - 113 - 004,BURITICÁ,Urarco,C,,,,
05,Antioquia,05 - 113,05 - 113 - 005,BURITICÁ,La Angelina,IPD,,,,
05,Antioquia,05 - 120,05 - 120 - 000,CÁCERES,Cáceres,CM,49,1903,Decreto departamental 160 del 16 de Marzo de 1903,
05,Antioquia,05 - 120,05 - 120 - 002,CÁCERES,El Jardín (Tamaná),C,49,,,
05,Antioquia,05 - 120,05 - 120 - 003,CÁCERES,Guarumo,C,23,,,
05,Antioquia,05 - 120,05 - 120 - 004,CÁCERES,Manizales,C,6,,,
05,Antioquia,05 - 120,05 - 120 - 006,CÁCERES,Puerto Bélgica,C,40,,,
05,Antioquia,05 - 120,05 - 120 - 010,CÁCERES,Piamonte,C,28,,,
05,Antioquia,05 - 120,05 - 120 - 011,CÁCERES,Nueva Esperanza,IPM,,,,
05,Antioquia,05 - 120,05 - 120 - 012,CÁCERES,Río Man,CAS,6,,,
05,Antioquia,05 - 125,05 - 125 - 000,CAICEDO,Caicedo,CM,33,1908,Decreto 1303 de Noviembre 27 de 1908,
05,Antioquia,05 - 125,05 - 125 - 001,CAICEDO,Asesí,CAS,,,,
05,Antioquia,05 - 125,05 - 125 - 002,CAICEDO,La Salazar,C,,,,
05,Antioquia,05 - 129,05 - 129 - 000,CALDAS,Caldas,CM,319,1848,Ordenanza 01 del 20 de Noviembre de 1848,
05,Antioquia,05 - 129,05 - 129 - 001,CALDAS,El Caño,CP,7,,,
05,Antioquia,05 - 129,05 - 129 - 002,CALDAS,La Raya,CP,3,,,
05,Antioquia,05 - 129,05 - 129 - 004,CALDAS,La Miel,CP,7,,,
05,Antioquia,05 - 129,05 - 129 - 005,CALDAS,La Corrala,CP,5,,,
05,Antioquia,05 - 129,05 - 129 - 006,CALDAS,Primavera,CP,15,,,
05,Antioquia,05 - 129,05 - 129 - 007,CALDAS,El Raizal,CP,4,,,
05,Antioquia,05 - 129,05 - 129 - 008,CALDAS,La Clara,CP,5,,,
05,Antioquia,05 - 129,05 - 129 - 009,CALDAS,La Quiebra,CP,3,,,
05,Antioquia,05 - 129,05 - 129 - 010,CALDAS,La Salada Parte Baja,CP,3,,,
05,Antioquia,05 - 129,05 - 129 - 011,CALDAS,La Tolva,CP,3,,,
05,Antioquia,05 - 129,05 - 129 - 012,CALDAS,La Valeria,CP,3,,,
05,Antioquia,05 - 134,05 - 134 - 000,CAMPAMENTO,Campamento,CM,25,1835,,
05,Antioquia,05 - 134,05 - 134 - 001,CAMPAMENTO,La Chiquita,IPD,,,,
05,Antioquia,05 - 134,05 - 134 - 002,CAMPAMENTO,La Solita,IPD,,,,
05,Antioquia,05 - 134,05 - 134 - 003,CAMPAMENTO,Llanadas,CAS,,,,
05,Antioquia,05 - 134,05 - 134 - 005,CAMPAMENTO,Morropelón,CAS,,,,
05,Antioquia,05 - 134,05 - 134 - 008,CAMPAMENTO,Los Chorros,CAS,,,,
05,Antioquia,05 - 138,05 - 138 - 000,CAÑASGORDAS,Cañasgordas,CM,77,1855, ,
05,Antioquia,05 - 138,05 - 138 - 001,CAÑASGORDAS,Buenos Aires,CAS,4,,,
05,Antioquia,05 - 138,05 - 138 - 002,CAÑASGORDAS,Cestillal,C,10,,,
05,Antioquia,05 - 138,05 - 138 - 003,CAÑASGORDAS,Juntas De Uramita,C,18,,,
05,Antioquia,05 - 138,05 - 138 - 005,CAÑASGORDAS,San Pascual,C,3,,,
05,Antioquia,05 - 138,05 - 138 - 006,CAÑASGORDAS,Versalles,CAS,,,,
05,Antioquia,05 - 138,05 - 138 - 007,CAÑASGORDAS,La Balsa,C,,,,
05,Antioquia,05 - 138,05 - 138 - 008,CAÑASGORDAS,El Madero,IPD,,,,
05,Antioquia,05 - 142,05 - 142 - 000,CARACOLÍ,Caracolí,CM,38,1963,Ordenanza 19 de Noviembre 30 de 1963,San Roque
05,Antioquia,05 - 142,05 - 142 - 001,CARACOLÍ,Sardinas,CAS,,,,
05,Antioquia,05 - 142,05 - 142 - 002,CARACOLÍ,Cascaron,IPD,,,,
05,Antioquia,05 - 142,05 - 142 - 003,CARACOLÍ,El Bagre,IPD,,,,
05,Antioquia,05 - 142,05 - 142 - 004,CARACOLÍ,Las Águilas,IPD,,,,
05,Antioquia,05 - 145,05 - 145 - 000,CARAMANTA,Caramanta,CM,38,1842,,
05,Antioquia,05 - 145,05 - 145 - 001,CARAMANTA,Alegrías,C,6,,,
05,Antioquia,05 - 145,05 - 145 - 002,CARAMANTA,Sucre,C,9,,,
05,Antioquia,05 - 145,05 - 145 - 003,CARAMANTA,Barro Blanco,C,,,,
05,Antioquia,05 - 145,05 - 145 - 004,CARAMANTA,Chirapoto,IPD,,,,
05,Antioquia,05 - 147,05 - 147 - 000,CAREPA,Carepa,CM,368,1983,Ordenanza 7 de Diciembre 15 de 1983,Chigorodó
05,Antioquia,05 - 147,05 - 147 - 003,CAREPA,Piedras Blancas,C,18,,,
05,Antioquia,05 - 147,05 - 147 - 004,CAREPA,Zungo Embarcadero (Pueblo Nuevo),C,17,,,
05,Antioquia,05 - 147,05 - 147 - 005,CAREPA,Zungo Embarcadero (11 De Noviembre),C,16,,,
05,Antioquia,05 - 147,05 - 147 - 006,CAREPA,Casa Verde,CAS,14,,,
05,Antioquia,05 - 147,05 - 147 - 007,CAREPA,El Encanto,CAS,18,,,
05,Antioquia,05 - 147,05 - 147 - 008,CAREPA,Zungo Embarcadero (28 De Octubre),C,11,,,
05,Antioquia,05 - 148,05 - 148 - 000,EL CARMEN DE VIBORAL,El Carmen De Viboral,CM,233,1814, ,
05,Antioquia,05 - 148,05 - 148 - 001,EL CARMEN DE VIBORAL,Santa Inés,C,,,,
05,Antioquia,05 - 148,05 - 148 - 002,EL CARMEN DE VIBORAL,Santa Rita,C,,,,
05,Antioquia,05 - 148,05 - 148 - 003,EL CARMEN DE VIBORAL,Aguas Claras,C,,,,
05,Antioquia,05 - 148,05 - 148 - 005,EL CARMEN DE VIBORAL,La Chapa,C,,,,
05,Antioquia,05 - 148,05 - 148 - 007,EL CARMEN DE VIBORAL,La Esperanza,C,,,,
05,Antioquia,05 - 148,05 - 148 - 008,EL CARMEN DE VIBORAL,La Aurora (Las Brisas),CAS,8,,,
05,Antioquia,05 - 148,05 - 148 - 011,EL CARMEN DE VIBORAL,La Madera,C,,,,
05,Antioquia,05 - 150,05 - 150 - 000,CAROLINA,Carolina,CM,55,1814, ,
05,Antioquia,05 - 154,05 - 154 - 000,CAUCASIA,Caucasia,CM,547,1942,,
05,Antioquia,05 - 154,05 - 154 - 003,CAUCASIA,Cuturú,C,54,,,
05,Antioquia,05 - 154,05 - 154 - 006,CAUCASIA,Margento,C,32,,,
05,Antioquia,05 - 154,05 - 154 - 007,CAUCASIA,Puerto Colombia,C,,,,
05,Antioquia,05 - 154,05 - 154 - 008,CAUCASIA,Palanca,C,14,,,
05,Antioquia,05 - 154,05 - 154 - 009,CAUCASIA,Palomar,C,12,,,
05,Antioquia,05 - 154,05 - 154 - 012,CAUCASIA,Santa Rosita,C,10,,,
05,Antioquia,05 - 154,05 - 154 - 013,CAUCASIA,Caracolí,CAS,,,,
05,Antioquia,05 - 154,05 - 154 - 020,CAUCASIA,Puerto Triana,C,8,,,
05,Antioquia,05 - 154,05 - 154 - 022,CAUCASIA,La Ilusión,C,10,,,
05,Antioquia,05 - 154,05 - 154 - 023,CAUCASIA,Cacerí,C,12,,,
05,Antioquia,05 - 154,05 - 154 - 024,CAUCASIA,El Pando,C,,,,
05,Antioquia,05 - 154,05 - 154 - 025,CAUCASIA,Campo Alegre,C,,,,
05,Antioquia,05 - 154,05 - 154 - 026,CAUCASIA,El Chino,CP,,,,
05,Antioquia,05 - 154,05 - 154 - 027,CAUCASIA,La Esmeralda,CP,,,,
05,Antioquia,05 - 154,05 - 154 - 028,CAUCASIA,La Union,CP,,,,
05,Antioquia,05 - 154,05 - 154 - 029,CAUCASIA,Las Malvinas,CP,,,,
05,Antioquia,05 - 154,05 - 154 - 030,CAUCASIA,Puerto España,CP,,,,
05,Antioquia,05 - 154,05 - 154 - 031,CAUCASIA,Villa Del Socorro,CP,,,,
05,Antioquia,05 - 172,05 - 172 - 000,CHIGORODÓ,Chigorodó,CM,628,1915,Ordenanza 52 del 27 de Abril de 1915,
05,Antioquia,05 - 172,05 - 172 - 003,CHIGORODÓ,Barranquillita,C,9,,,
05,Antioquia,05 - 190,05 - 190 - 000,CISNEROS,Cisneros,CM,121,1923,Ordenanza 11 del 13 de Abril de 1923,
05,Antioquia,05 - 190,05 - 190 - 002,CISNEROS,Fátima,CAS,,,,
05,Antioquia,05 - 190,05 - 190 - 004,CISNEROS,El Limón,IPM,,,,
05,Antioquia,05 - 197,05 - 197 - 000,COCORNÁ,Cocorná,CM,71,1864, ,
05,Antioquia,05 - 197,05 - 197 - 001,COCORNÁ,Agua Linda,IPD,,,,
05,Antioquia,05 - 197,05 - 197 - 005,COCORNÁ,La Piñuela,IPD,,,,
05,Antioquia,05 - 197,05 - 197 - 007,COCORNÁ,Las Cruces,IPD,,,,
05,Antioquia,05 - 197,05 - 197 - 009,COCORNÁ,La Primavera,IPD,,,,
05,Antioquia,05 - 197,05 - 197 - 010,COCORNÁ,La Florida,IPD,,,,
05,Antioquia,05 - 197,05 - 197 - 011,COCORNÁ,La Granja,IPD,,,,
05,Antioquia,05 - 197,05 - 197 - 012,COCORNÁ,Pailania,IPD,,,,
05,Antioquia,05 - 206,05 - 206 - 000,CONCEPCIÓN,Concepción,CM,33,1773, ,
05,Antioquia,05 - 209,05 - 209 - 000,CONCORDIA,Concordia,CM,73,1848, ,
05,Antioquia,05 - 209,05 - 209 - 001,CONCORDIA,El Socorro,C,9,,,
05,Antioquia,05 - 209,05 - 209 - 006,CONCORDIA,El Golpe,IPD,,,,
05,Antioquia,05 - 209,05 - 209 - 007,CONCORDIA,Salazar,CAS,22,,,
05,Antioquia,05 - 212,05 - 212 - 000,COPACABANA,Copacabana,CM,476,1812, ,
05,Antioquia,05 - 212,05 - 212 - 005,COPACABANA,Salado,CAS,,,,
05,Antioquia,05 - 212,05 - 212 - 008,COPACABANA,Cabuyal,CAS,,,,
05,Antioquia,05 - 212,05 - 212 - 011,COPACABANA,Zarzal (La Luz),CAS,,,,
05,Antioquia,05 - 212,05 - 212 - 014,COPACABANA,Alvarado,CAS,,,,
05,Antioquia,05 - 212,05 - 212 - 018,COPACABANA,El Convento,CP,,,,
05,Antioquia,05 - 212,05 - 212 - 019,COPACABANA,El Noral,CP,,,,
05,Antioquia,05 - 234,05 - 234 - 000,DABEIBA,Dabeiba,CM,118,1887, ,
05,Antioquia,05 - 234,05 - 234 - 003,DABEIBA,Galilea,IPD,,,,
05,Antioquia,05 - 234,05 - 234 - 004,DABEIBA,San José De Urama (Uramagrande),C,17,,,
05,Antioquia,05 - 234,05 - 234 - 007,DABEIBA,Carra,CAS,,,,
05,Antioquia,05 - 234,05 - 234 - 008,DABEIBA,Armenia (Camparrusia),C,11,,,
05,Antioquia,05 - 234,05 - 234 - 009,DABEIBA,Llano Grande,IPD,,,,
05,Antioquia,05 - 234,05 - 234 - 010,DABEIBA,Las Cruces De Urama,IPD,3,,,
05,Antioquia,05 - 234,05 - 234 - 011,DABEIBA,Arenera,IPD,,,,
05,Antioquia,05 - 234,05 - 234 - 012,DABEIBA,Chimiandó,IPD,,,,
05,Antioquia,05 - 234,05 - 234 - 014,DABEIBA,El Botón,CAS,1,,,
05,Antioquia,05 - 234,05 - 234 - 015,DABEIBA,Camparrusia,CAS,,,,
05,Antioquia,05 - 234,05 - 234 - 016,DABEIBA,El Encierro,CP,,,,
05,Antioquia,05 - 237,05 - 237 - 000,DON MATÍAS,Don Matías,CM,88,1814, ,
05,Antioquia,05 - 237,05 - 237 - 001,DON MATÍAS,Bellavista,C,6,,,
05,Antioquia,05 - 237,05 - 237 - 002,DON MATÍAS,Riogrande,IPD,,,,
05,Antioquia,05 - 240,05 - 240 - 000,EBÉJICO,Ebéjico,CM,48,1833, ,
05,Antioquia,05 - 240,05 - 240 - 001,EBÉJICO,Brasil,C,8,,,
05,Antioquia,05 - 240,05 - 240 - 003,EBÉJICO,Sevilla,C,30,,,
05,Antioquia,05 - 250,05 - 250 - 000,EL BAGRE,El Bagre,CM,474,1979,Ordenanza 22 de Octubre 30 de 1979,Zaragoza
05,Antioquia,05 - 250,05 - 250 - 002,EL BAGRE,Puerto Claver,C,85,,,
05,Antioquia,05 - 250,05 - 250 - 004,EL BAGRE,Puerto López,C,65,,,
05,Antioquia,05 - 250,05 - 250 - 005,EL BAGRE,El Real,CAS,16,,,
05,Antioquia,05 - 250,05 - 250 - 006,EL BAGRE,La Corona,CP,,,,
05,Antioquia,05 - 250,05 - 250 - 007,EL BAGRE,Las Negritas,CP,,,,
05,Antioquia,05 - 250,05 - 250 - 009,EL BAGRE,Santa Bárbara,CP,,,,
05,Antioquia,05 - 250,05 - 250 - 010,EL BAGRE,Muqui,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 000,ENTRERRIOS,Entrerrios,CM,30,1835,Decreto departamental del 25 de Mayo de 1835,
05,Antioquia,05 - 264,05 - 264 - 001,ENTRERRIOS,Calle 10,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 002,ENTRERRIOS,Calle La Paz,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 003,ENTRERRIOS,El Altico,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 004,ENTRERRIOS,Guanteros,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 005,ENTRERRIOS,La Bomba,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 006,ENTRERRIOS,Minuto De Dios,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 007,ENTRERRIOS,Mirador,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 008,ENTRERRIOS,Obrero,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 009,ENTRERRIOS,San Isidro,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 010,ENTRERRIOS,San Vicente,CP,,,,
05,Antioquia,05 - 264,05 - 264 - 011,ENTRERRIOS,Toñito Ruíz,CP,,,,
05,Antioquia,05 - 266,05 - 266 - 000,ENVIGADO,Envigado,CM,1190,1814, ,
05,Antioquia,05 - 266,05 - 266 - 001,ENVIGADO,Las Palmas,IPM,18,,,
05,Antioquia,05 - 282,05 - 282 - 000,FREDONIA,Fredonia,CM,75,1830,Decreto departamental del 2 de Octubre de 1830,
